"virus","animal","cors","corsCI1","corsCI2","pval","commonName"
"Human adenovirus type 1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human astrovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human herpesvirus 1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human herpesvirus 4","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human orthopneumovirus B","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human papillomavirus 1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human papillomavirus type 41","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H3N2","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H5N1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H7N9, segment 1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H7N9, segment 2","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H7N9, segment 3","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H7N9, segment 5","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H9N2 (HA)","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Influenza A virus H9N2 segment 5","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Parvovirus NIH-CQV","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Bamboo rat circovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Bamboo rat coronavirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Betacoronavirus HKU24","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Cadicivirus B","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Canine coronavirus HeB-G1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Canine coronavirus SD-F3","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Canine kobuvirus JX-MO1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Canine kobuvirus SMCD-59","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Canine parvovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Civet astrovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Civet kobuvirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"European hedgehog papillomavirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Hedgehog bocavirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Hedgehog chapparvovirus 6","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Hedgehog dicipivirus 2","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Lucheng Rn rat coronavirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Lupine bocavirus isolate South Douro","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Marmot kobuvirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Myocastor coypus polyomavirus 1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Raccoon dog amdovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Rodent papillomavirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Skunk adenovirus PB1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"SARS-CoV-2","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human adenovirus type 1","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Human astrovirus","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Human herpesvirus 1","Aix.galericulata",-0.0524185109800751,-0.283895791495422,0.184832085326285,0.666494136789913,"Mandarin duck"
"Human herpesvirus 4","Aix.galericulata",-0.0360064263096026,-0.268707032034404,0.200665339471426,0.767288806400854,"Mandarin duck"
"Human orthopneumovirus B","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Human papillomavirus 1","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Human papillomavirus type 41","Aix.galericulata",0.46074905645791,0.253185976198701,0.627759307555412,5.97678460847154e-05,"Mandarin duck"
"Influenza A virus H3N2","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Influenza A virus H5N1","Aix.galericulata",-0.025297556214419,-0.258733595912136,0.210930291746658,0.835325172739972,"Mandarin duck"
"Influenza A virus H7N9, segment 1","Aix.galericulata",-0.0439288872161552,-0.276053444567109,0.193037698003927,0.718030595439158,"Mandarin duck"
"Influenza A virus H7N9, segment 2","Aix.galericulata",-0.035379116692465,-0.268124175613515,0.201268081422149,0.771231649931885,"Mandarin duck"
"Influenza A virus H7N9, segment 3","Aix.galericulata",-0.025297556214419,-0.258733595912136,0.210930291746658,0.835325172739972,"Mandarin duck"
"Influenza A virus H7N9, segment 5","Aix.galericulata",-0.0359759841177332,-0.268678751008758,0.200694593576475,0.767480010392929,"Mandarin duck"
"Influenza A virus H9N2 (HA)","Aix.galericulata",-0.025297556214419,-0.258733595912136,0.210930291746657,0.835325172739972,"Mandarin duck"
"Influenza A virus H9N2 segment 5","Aix.galericulata",0.496166736852023,0.295662964345148,0.65480004790146,1.2537870410785e-05,"Mandarin duck"
"Parvovirus NIH-CQV","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Bamboo rat circovirus","Aix.galericulata",0.142792062247328,-0.0953822657503397,0.365502585771473,0.238307726240037,"Mandarin duck"
"Bamboo rat coronavirus","Aix.galericulata",0.0340004556896653,-0.202592119765169,0.266842612007277,0.779917181276463,"Mandarin duck"
"Betacoronavirus HKU24","Aix.galericulata",-0.025297556214419,-0.258733595912136,0.210930291746657,0.835325172739972,"Mandarin duck"
"Cadicivirus B","Aix.galericulata",-0.077904621363233,-0.307254182485654,0.159998258372914,0.52149921693192,"Mandarin duck"
"Canine coronavirus HeB-G1","Aix.galericulata",0.113438508214565,-0.124863770040287,0.33936667634341,0.349773674234365,"Mandarin duck"
"Canine coronavirus SD-F3","Aix.galericulata",0.151301405493341,-0.0867569920568744,0.373014068402115,0.211190823576078,"Mandarin duck"
"Canine kobuvirus JX-MO1","Aix.galericulata",-0.0169843755478109,-0.250956856751118,0.218863104042513,0.889013276039636,"Mandarin duck"
"Canine kobuvirus SMCD-59","Aix.galericulata",-0.0190840120015687,-0.252923860593437,0.216862474577714,0.875396479189829,"Mandarin duck"
"Canine parvovirus","Aix.galericulata",-0.169917663221273,-0.389346542675581,0.0677618334462322,0.15963944681261,"Mandarin duck"
"Civet astrovirus","Aix.galericulata",-0.0486023270820508,-0.280374393477686,0.188524700251763,0.689487438954447,"Mandarin duck"
"Civet kobuvirus","Aix.galericulata",0.0558656241502068,-0.181490822163996,0.287071269762713,0.645983992263495,"Mandarin duck"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Aix.galericulata",-0.0459942189205771,-0.277964157797844,0.191044506042908,0.705366277918641,"Mandarin duck"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Aix.galericulata",-0.0528648512239391,-0.284307246178433,0.184399759677217,0.663824247008266,"Mandarin duck"
"European hedgehog papillomavirus","Aix.galericulata",0.0328664146929084,-0.203680581929714,0.265787822487307,0.787081853969283,"Mandarin duck"
"Hedgehog bocavirus","Aix.galericulata",-0.16293111975887,-0.383233218438382,0.0749108316714171,0.17776795661343,"Mandarin duck"
"Hedgehog chapparvovirus 6","Aix.galericulata",-0.100973546253115,-0.328161554297072,0.13725705837619,0.405565504049886,"Mandarin duck"
"Hedgehog dicipivirus 2","Aix.galericulata",-0.0800457084901289,-0.309204016313029,0.157898166426604,0.510081980347632,"Mandarin duck"
"Lucheng Rn rat coronavirus","Aix.galericulata",-0.0357212561078361,-0.268442091043064,0.20093936361261,0.769080469796905,"Mandarin duck"
"Lupine bocavirus isolate South Douro","Aix.galericulata",-0.110200187423473,-0.336461806107522,0.128090636396407,0.363788511114206,"Mandarin duck"
"Marmot kobuvirus","Aix.galericulata",0.00841964006733503,-0.227003484542057,0.242913083295463,0.944849066356292,"Mandarin duck"
"Myocastor coypus polyomavirus 1","Aix.galericulata",-0.0681904764829786,-0.298383502130886,0.169499432988822,0.574863425525297,"Mandarin duck"
"Raccoon dog amdovirus","Aix.galericulata",-0.140491532847015,-0.36346683796917,0.0977080120834825,0.246034098513589,"Mandarin duck"
"Rodent papillomavirus","Aix.galericulata",-0.0796273506410047,-0.308823179804028,0.158308683294437,0.512302756624485,"Mandarin duck"
"Skunk adenovirus PB1","Aix.galericulata",-0.159520195449869,-0.380241583124911,0.0783922093872829,0.187143969087079,"Mandarin duck"
"SARS-CoV-2","Aix.galericulata",-0.0600060088864504,-0.290878683803918,0.177470318221047,0.621693499834596,"Mandarin duck"
"Human adenovirus type 1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human astrovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human herpesvirus 1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human herpesvirus 4","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human orthopneumovirus B","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human papillomavirus 1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human papillomavirus type 41","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H3N2","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H5N1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H7N9, segment 1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H7N9, segment 2","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H7N9, segment 3","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H7N9, segment 5","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H9N2 (HA)","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Influenza A virus H9N2 segment 5","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Parvovirus NIH-CQV","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Bamboo rat circovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Bamboo rat coronavirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Betacoronavirus HKU24","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Cadicivirus B","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Canine coronavirus HeB-G1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Canine coronavirus SD-F3","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Canine kobuvirus JX-MO1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Canine kobuvirus SMCD-59","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Canine parvovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Civet astrovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Civet kobuvirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
