"virus","animal","cors","corsCI1","corsCI2","pval","commonName","bootCI1","bootCI2"
"SARS-CoV-2","Rattus.norvegicus",-0.00802925827645964,-0.163472171084869,0.147802664543486,0.919988771037279,NA,-0.141209230144184,0.144599660611636
"SARS-CoV-2","Erinaceus.amurensis",-0.143450132858003,-0.292565062566103,0.0124756272707856,0.0712459459229923,"Amur hedgehog",-0.248172811959215,-0.015824149380368
"SARS-CoV-2","Oryctolagus.cuniculus",-0.106985340779062,-0.258330832729871,0.0494859061851822,0.179516459191398,"Rabbit",-0.234179848194191,0.0382836610647107
"SARS-CoV-2","Canis.lupus",-0.0647188806251361,-0.218168411054651,0.0918535985905627,0.417661378374114,"Dog",-0.21013809176655,0.111678529014394
"SARS-CoV-2","Erinaceus.europaeus",-0.0580483220462154,-0.211782067654758,0.0984887387038237,0.467348902111118,NA,-0.163837544262672,0.0672585817592204
"SARS-CoV-2","Monopterus.albus",0.458482698242091,0.32610699016406,0.573223769328339,1.22199920791877e-09,"Swamp eel",0.296830628829544,0.637048845640659
"SARS-CoV-2","Coturnix.japonica",0.0129352077949133,-0.142999907217547,0.16824368705511,0.871442418065285,"Japanese quail",-0.144747063987026,0.169142908091409
"SARS-CoV-2","Ictalurus.punctatus",0.536716993971836,0.415805558379004,0.638984403146322,3.04512055803836e-13,"Channel catfish",0.340768159052114,0.723795013013439
"SARS-CoV-2","Andrias.davidianus",-0.0654169324338488,-0.21883596192741,0.091158448667654,0.412646257338198,"Chinese giant salamander",-0.168654117962875,0.0757517664053596
"SARS-CoV-2","Hemiechinus.auritus",-0.147431649534065,-0.29628002473078,0.00840851248621334,0.0636645722850521,"Long-eared hedgehog",-0.20737844918677,-0.0702964983226533
"SARS-CoV-2","Bos.taurus",0.594480120125249,0.483577980950753,0.686597071072859,1.4416243280923e-16,"Cattle",0.476612288222584,0.701160131416936
"SARS-CoV-2","Ctenopharyngodon.idella",0.601484624073509,0.491887642385598,0.692317483660696,5.12103256418961e-17,"Grass carp",0.488525131967712,0.706334110608017
"SARS-CoV-2","Naja.atra",-0.20138865283361,-0.346184507209086,-0.0472216332465409,0.0109117135785903,"Chinese cobra",-0.306720594699182,-0.0884570775678463
"SARS-CoV-2","Larimichthys.crocea",0.48566389907168,0.357003371021772,0.596239996955471,8.65316112210439e-11,"Large yellow croaker",0.313195128455479,0.641717907915691
"SARS-CoV-2","Sus.scrofa",0.364986788173,0.221948277550508,0.492647120846075,2.24280890950059e-06,"Wild boar",0.244350115935471,0.486200262274379
"SARS-CoV-2","Homo.sapiens",0.368094383447831,0.225358614639088,0.495360945568992,1.81000890981407e-06,"Human",0.246317357382454,0.48221696853251
"SARS-CoV-2","Nyctereutes.procyonoides",-0.258894803273864,-0.398484576864539,-0.107582776984305,0.00098370324944339,"Raccoon dog",-0.356175870424648,-0.147381635652264
"SARS-CoV-2","Micropterus.salmoides",0.704130182591647,0.615993313691842,0.774856317916134,4.04836744963839e-25,NA,0.597281037419127,0.794038591476483
"SARS-CoV-2","Marmota.himalayana",-0.0865002718828434,-0.238930632277832,0.0700906039324679,0.27829637558649,"Himalayan marmot",-0.168831793960708,0.0125696716222614
"SARS-CoV-2","Channa.maculata",0.560511804423569,0.443561862798477,0.658693233878021,1.55511043628563e-14,NA,0.395339466943602,0.723444279034131
"SARS-CoV-2","Mustela.sibirica",0.0650328099120334,-0.091540993227865,0.218468641167371,0.415401580780291,"Siberian weasel",-0.10615037686388,0.247122606357793
"SARS-CoV-2","Arctonyx.collaris",-0.24718603013319,-0.387908903608251,-0.0952015893874158,0.00168258886312497,"Greater hog badger",-0.328804122100858,-0.170662053513529
"SARS-CoV-2","Rhizomys.pruinosus",-0.23760426993956,-0.37922674806755,-0.0851044304050701,0.0025634789050244,"Hoary bamboo rat",-0.337648243647356,-0.101329618333134
"SARS-CoV-2","Anas.poecilorhyncha",0.109977307300468,-0.0464652787402746,0.261154167950666,0.167583862730161,"Indian spot-billed duck",-0.0280081126987552,0.242459618938557
"SARS-CoV-2","Vulpes.zerda",-0.179251364889291,-0.325808524458978,-0.024281612098835,0.0237727074054595,NA,-0.245351228765709,-0.106006890620904
"SARS-CoV-2","Amaurornis.akool",-0.212538623093785,-0.356395884481503,-0.0588378307813422,0.00715236735052484,NA,-0.305209171422385,-0.122271039216683
"SARS-CoV-2","Ovis.orientalis",0.560227137536418,0.443228471787311,0.65845824281313,1.61372330530138e-14,"Sheep",0.436533849269304,0.675814264418144
"SARS-CoV-2","Streptopelia.chinensis",-0.184339501082576,-0.330503915400525,-0.0295398471220856,0.0200151937133373,NA,-0.302454926567252,-0.0473668892288086
"SARS-CoV-2","Urocyon.cinereoargenteus",0.218033813610946,0.0645781515059422,0.361415885132047,0.00576412277382989,NA,0.0265058994325743,0.427724787844745
"SARS-CoV-2","Capra.aegagrus",0.350453858037609,0.206045866764055,0.479922647385234,5.93612688527642e-06,NA,0.187729239574561,0.509093608145806
"SARS-CoV-2","Felis.margarita",0.00598467035424153,-0.149802079021915,0.161481459973483,0.940318890800215,NA,-0.13973982284147,0.187170195926026
"SARS-CoV-2","Paguma.larvata",0.0714632782387037,-0.0851308464112627,0.224612113419263,0.370705407272442,"Masked palm civet",-0.0921393046401401,0.242627409060427
"SARS-CoV-2","Rattus.tiomanicus",0.0134890414582212,-0.142457261224757,0.168781887695106,0.865988595274007,NA,-0.118028741666762,0.184904130497216
"SARS-CoV-2","Ptyas.mucosa",-0.18300220081989,-0.329270539756807,-0.0281570097903969,0.0209493289136117,"Dhaman",-0.313214182969305,-0.0277909357834668
"SARS-CoV-2","Columba.rupestris",0.0411511444527297,-0.115234146413095,0.195545870419194,0.606538886210531,NA,-0.108628907831577,0.198939723400801
"SARS-CoV-2","Otocyon.megalotis",-0.104902013971358,-0.2563633970234,0.0515875007117866,0.188187100178759,"Bat-eared fox",-0.159240353184189,-0.0388736178767861
"SARS-CoV-2","Muntiacus.putaoensis",-0.0652486086896155,-0.218675006122175,0.0913260866322378,0.413852326312372,NA,-0.163022968755188,0.0613481460339403
"SARS-CoV-2","Gallus.gallus",0.215277634531952,0.061697754433277,0.358899081865879,0.00642707335603925,"Chicken",0.100294702789053,0.33488639694203
"SARS-CoV-2","Hystrix.brachyura",0.00683804331237358,-0.148967715511061,0.162312499643328,0.931828031632117,"Malayan porcupine",-0.122043279962408,0.144714341136384
